Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_inventorie
   Austria,19980000,19980000,22020000,19980000,16980000,16440000,14760000,13860000,12600000,11280000,9720000,8520000,8100000,7860000,7800000,7740000,7560000,7680000,7740000,8280000,8460000,6660000,5820000,5520000,5760000,5760000,5400000,4800000,4800000,4800000,306660000
   Cyprus,600000,720000,600000,480000,780000,780000,720000,360000,540000,540000,600000,720000,780000,780000,360000,420000,480000,480000,480000,300000,300000,360000,240000,420000,720000,360000,120000,180000,300000,0,14520000
   Denmark,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,5340000,160200000
   Finland,10560000,13380000,12780000,11280000,16920000,13200000,8400000,10860000,9720000,10620000,6060000,5400000,4620000,5640000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,4980000,219120000
   France,34380000,33720000,32220000,23340000,28860000,18060000,15960000,19020000,21000000,18360000,21060000,35040000,43140000,39000000,37260000,31200000,28560000,22080000,30240000,28980000,25620000,24840000,26760000,26280000,29940000,30420000,34320000,28500000,27840000,27120000,843120000
   Germany,240000000,96000000,150000000,120000000,234000000,138000000,96000000,114000000,96000000,132000000,150000000,171000000,214800000,197400000,191400000,173100000,186060000,200460000,192660000,174660000,160800000,147720000,171540000,158160000,187200000,211140000,239460000,216060000,211080000,208740000,5179440000
   Ireland,0,0,0,0,0,0,0,0,0,0,0,0,360000,420000,600000,480000,360000,660000,480000,420000,240000,360000,420000,360000,360000,240000,240000,180000,180000,180000,6540000
   Italy,12900000,11340000,11220000,13680000,13320000,13020000,13380000,13620000,14040000,14100000,14700000,15180000,15180000,15900000,16140000,16680000,17640000,18840000,19020000,19020000,19560000,19740000,20760000,21120000,22260000,22200000,24180000,23760000,25260000,25680000,523440000
   Netherlands,105120000,105120000,62880000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,42420000,1418460000
   Portugal,4080000,8580000,7260000,13200000,9540000,5160000,6900000,7860000,6060000,4920000,7440000,6360000,6660000,10680000,10200000,9000000,7800000,7200000,6600000,6000000,6060000,5400000,6600000,7200000,6000000,7740000,7740000,7740000,7740000,7740000,221460000
   Spain,12000000,15000000,19980000,15000000,16020000,17040000,18180000,19380000,20640000,22020000,23460000,25020000,26640000,28440000,30300000,24060000,27720000,37080000,33300000,34200000,34200000,34200000,34200000,50220000,38400000,38220000,44040000,43380000,42900000,40200000,865440000
   Sweden,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,5220000,156600000
Japan,90000000,70020000,79980000,75000000,88020000,49980000,58980000,55020000,52980000,69000000,84000000,82980000,103020000,103980000,106980000,120000000,139020000,121980000,111000000,100980000,105300000,132240000,121620000,172860000,176040000,191100000,193740000,181260000,156180000,176040000,3369300000
Norway,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,7440000,223200000
Switzerland,19260000,21060000,18120000,19620000,17160000,11580000,8400000,7080000,9900000,8340000,10260000,13680000,10920000,13680000,13800000,12240000,9240000,8700000,5460000,9660000,9240000,12180000,12540000,12360000,12360000,13020000,13140000,22080000,20280000,22740000,398100000
United Kingdom,11340000,10080000,10200000,12240000,12780000,11220000,7920000,6600000,7680000,6840000,7920000,12480000,8460000,8880000,10800000,2880000,5160000,3240000,3240000,4320000,2820000,2460000,2460000,2340000,2400000,2580000,1560000,1200000,1860000,2160000,186120000
United States of America,358920000,369000000,565320000,468840000,245220000,119400000,79620000,85680000,84480000,157620000,335580000,323880000,343200000,329400000,304500000,280020000,299220000,327960000,313800000,274200000,238440000,257700000,284160000,305220000,331500000,350160000,375360000,397920000,367980000,410100000,8984400000
Unspecified EU stocks,145980000,165480000,149100000,115200000,127320000,82860000,73320000,93060000,96180000,115560000,235020000,358080000,359280000,384960000,419460000,460260000,336900000,425280000,470760000,588420000,399960000,409680000,366720000,320160000,450060000,447840000,417240000,422100000,485520000,536100000,9457860000
